sector,market_cap,revenue,company,company_id,n_employee,state,headoffice_address,lat,lng
Utilities - Other,2713,904,EL PASO ELECTRIC CO,10267,1100,Texas TX,Stanton Tower 100 North Stanton El Paso Texas TX 79901 United States,31.759098,-106.4854862
Oil & Gas,15812,2176,DIAMONDBACK ENERGY INC,1895607,711,Texas TX,500 West Texas Suite 1200 Midland Texas TX 79701 United States,31.9988675,-102.0806785
Oil & Gas,14113,4151,CONCHO RESOURCES INC,538004,1503,Texas TX,One Concho Center 600 West Illinois Avenue Midland Texas TX 79701 United States,31.9998809,-102.0809697
Real Estate,4733,300,EASTGROUP PROPERTIES INC,9938,75,Mississippi MS,400 West Parkway Place Suite 100 Ridgeland Mississippi MS 39157 United States,32.4394936,-90.1491781
Insurance,36727,21758,AFLAC INC,1017,11390,Georgia GA,1932 Wynnton Road Columbus  Georgia GA 31999 United States,32.4672389,-84.9637973
Software & Computer Services,23192,4028,TOTAL SYSTEM SERVICES INC (TSYS),30993,12820,Georgia GA,One TSYS Way Columbus  Georgia GA 31901 United States,32.4749904,-84.9924032
Telecommunication Services,14753,23443,CENTURYLINK INC,6353,45000,Louisiana LA,100 CenturyLink Drive Monroe  Louisiana LA 71203 United States,32.5895496,-92.0669497
Utilities - Other,36249,11687,SEMPRA ENERGY CORP,27588,16823,California CA,488 8th Avenue San Diego  California CA 92101 United States,32.7099151,-117.1576582
Construction & Building Materials,17404,16068,DR HORTON INC,9582,8437,Texas TX,1341HortonCircle  Arlington Texas TX 76011 United States,32.7608129,-97.090469
Clothing & Personal Products,47935,18486,KIMBERLY-CLARK CORP,17913,41000,Texas TX,Post Box 619100 Dallas  Texas TX 75261-9100 United States,32.7766642,-96.7969879
Telecommunication Services,263703,170756,AT&T INC ,27163,268000,Texas TX,208 South Akard Street Dallas  Texas TX 75202 United States,32.7795597,-96.7988939
Real Estate,15015,1723,INVITATION HOMES INC,2607907,1231,Texas TX,1717 Main Street Suite 2000 Dallas Texas TX 75201 United States,32.7816486,-96.796842
Oil & Gas,8402,17715,HOLLYFRONTIER CORP ,14955,3622,Texas TX,2828 North Harwood Suite 1300 Dallas Texas TX 75201-1507 United States,32.7944197,-96.8080977
Oil & Gas,36619,40523,ENERGY TRANSFER LP ,820219,29486,Texas TX,8111 Westchester Drive Suite 600 Dallas Texas TX 75225 United States,32.8614286,-96.8070119
Software & Computer Services,5878,1730,MATCH GROUP INC,2364266,1500,Texas TX,8750 North Central Expressway Suite 1400 Dallas Texas TX 75231 United States,32.867051,-96.7690409
General Retailers,2547,11723,SUNOCO LP ,1889915,6513,Texas TX,8020 Park Lane Suite 200 Dallas Texas TX 75231 United States,32.8703348,-96.7693915
Electronic & Electrical Equipment,44750,3333,ILLUMINA INC,15581,7300,California CA,5200 Illumina Way San Diego  California CA 92122 United States,32.8708716,-117.1990312
Chemicals,13857,7155,CELANESE CORP,55772,7684,Texas TX,222 West Las Colinas Boulevard Suite 900 North Irving Texas TX 75039-5421 United States,32.8711019,-96.9434437
Leisure & Hotels,29555,21965,SOUTHWEST AIRLINES CO,28696,58800,Texas TX,Post Box 36611 Dallas  Texas TX 75235-1611 United States,32.8715736,-96.760749
Oil & Gas,306311,290212,EXXON MOBIL CORP,11430,71100,Texas TX,5959 Las Colinas Boulevard Irving  Texas TX 75039-2298 United States,32.8900057,-96.9499086
Electronic & Electrical Equipment,95843,22732,QUALCOMM INC,25529,35400,California CA,5775 Morehouse Drive San Diego  California CA 92121-1714 United States,32.8954289,-117.1959779
Electricity,10926,9144,VISTRA ENERGY CORP,2655941,5275,Texas TX,6555 Sierra Drive Irving  Texas TX 75039 United States,32.8984571,-96.9641197
Electronic & Electrical Equipment,13122,1032,DEXCOM INC,373917,2800,California CA,6340 Sequence Drive San Diego  California CA 92121 United States,32.9070685,-117.1859372
Electronic & Electrical Equipment,115269,15784,TEXAS INSTRUMENTS INC,30509,29888,Texas TX,12500 Texas Instruments Boulevard Dallas  Texas TX 75243 United States,32.9110152,-96.7523904
Diversified Industrials,1047,350,CSW INDUSTRIALS INC,2344669,730,Texas TX,5420 Lyndon B Johnson Freeway Suite 500 Dallas Texas TX 75240 United States,32.9233133,-96.8172642
Real Estate,23241,1328,REALTY INCOME CORP,25864,165,California CA,11995 El Camino Real San Diego  California CA 92130 United States,32.9375327,-117.2366546
Automobiles & Parts,17473,1806,COPART INC,7852,6026,Texas TX,14185 Dallas Parkway Suite 300 Dallas Texas TX 75254 United States,32.9390113,-96.8226646
Chemicals,5666,1372,VERSUM MATERIALS INC,2534641,2300,Arizona AZ,ASU Research Park 8555 South River Parkway Tempe Arizona AZ 85284 United States,33.336607,-111.897189
Health,3484,1400,ICU MEDICAL INC,15462,8100,California CA,951 Calle Amanecer San Clemente  California CA 92673 United States,33.4513733,-117.602684
Mining,14209,18628,FREEPORT-MCMORAN INC ,12493,26800,Arizona AZ,333 North Central Avenue Phoenix  Arizona AZ 85004-2189 United States,33.4517282,-112.073067
Mining,18897,4383,VULCAN MATERIALS CO,32979,8782,Alabama AL,1200 Urban Center Drive Birmingham  Alabama AL 35242 United States,33.482953,-86.704047
Real Estate,7983,785,MEDICAL PROPERTIES TRUST INC,660184,77,Alabama AL,1000 Urban Center Drive Suite 501 Birmingham Alabama AL 35242 United States,33.483098,-86.705593
Mining,27308,7097,SOUTHERN COPPER CORP ,29256,13899,Arizona AZ,1440 East Missouri Avenue Suite 160 Phoenix Arizona AZ 85014 United States,33.5170845,-112.0504781
Software & Computer Services,11315,2660,GODADDY INC,2232357,6821,Arizona AZ,14455 North Hayden Road Scottsdale  Arizona AZ 85260 United States,33.6172584,-111.9050735
Leisure & Hotels,21549,4865,CHIPOTLE MEXICAN GRILL INC,82918,73000,California CA,610 Newport Center Drive Newport Beach  California CA 92660 United States,33.6183291,-117.8724881
Insurance,3566,1788,CORELOGIC INC ,122367,5800,California CA,40 Pacifica Suite 900 Irvine California CA 92618-7471 United States,33.6506498,-117.7517227
Utilities - Other,27554,10041,REPUBLIC SERVICES INC,26097,36000,Arizona AZ,18500 North Allied Way Phoenix  Arizona AZ 85054 United States,33.654396,-111.9301716
Real Estate,17548,1847,HCP INC ,14483,201,California CA,1920 Main Street Suite 1200 Irvine California CA 92614 United States,33.6841151,-117.8526637
Health,44615,3723,EDWARDS LIFESCIENCES CORP,10156,12800,California CA,One Edwards Way Irvine  California CA 92614 United States,33.6984047,-117.8517225
Insurance,6301,5748,FIRST AMERICAN FINANCIAL CORP,1645838,18251,California CA,1 First American Way Santa Ana  California CA 92707-5913 United States,33.7019896,-117.8601399
Leisure & Hotels,38124,44438,DELTA AIR LINES INC,8946,89000,Georgia GA,Post Office Box 20706 Atlanta  Georgia GA 30320-6001 United States,33.7489954,-84.3879824
Beverages,234245,31856,COCA-COLA CO,7204,62600,Georgia GA,One Coca Cola Plaza Atlanta  Georgia GA 30313 United States,33.7542763,-84.3818443
Banks,30426,10431,SUNTRUST BANKS INC,29586,22899,Georgia GA,303 Peachtree Street North East Atlanta Georgia GA 30308 United States,33.7627649,-84.3864991
Utilities - Other,61278,23495,SOUTHERN CO,28665,29192,Georgia GA,30 Ivan Allen Jr Boulevard North West Atlanta  Georgia GA 30308 United States,33.764322,-84.3882896
Business Services,17811,3412,EQUIFAX INC,10896,10900,Georgia GA,1550 Peachtree Street North West Atlanta  Georgia GA 30309 United States,33.7966512,-84.3884949
Speciality & Other Finance,9005,5314,INVESCO LTD ,2129,7030,Georgia GA,1555 Peachtree Street North East Atlanta  Georgia GA 30309 United States,33.797492,-84.3895717
Construction & Building Materials,8913,10188,PULTEGROUP INC ,25407,5086,Georgia GA,3350 Peachtree Road NorthEast Suite 150 Atlanta Georgia GA 30326 United States,33.8476821,-84.3681861
General Retailers,254818,108203,HOME DEPOT INC,14982,413000,Georgia GA,2455 Paces Ferry Road Atlanta  Georgia GA 30339 United States,33.8488985,-84.432564
Telecommunication Services,24943,3366,GLOBAL PAYMENTS INC,13417,11000,Georgia GA,3550 Lenox Road Atlanta  Georgia GA 30326 United States,33.8517433,-84.3675947
Clothing & Personal Products,4234,3462,CARTERS INC,493545,21000,Georgia GA,Phipps Tower 3438 Peachtree Road North East Suite 1800 Atlanta Georgia GA 30326 United States,33.8528357,-84.3640196
Business Services,6529,6047,HD SUPPLY HOLDINGS INC,1961459,11500,Georgia GA,3400 Cumberland Boulevard South East  Atlanta Georgia GA 30339 United States,33.8784793,-84.4538673
Beverages,30804,3807,MONSTER BEVERAGE CORP ,14301,2203,California CA,1 Monster Way Corona  California CA 92879 United States,33.8866879,-117.5132312
Containers & Packaging,4457,6023,GRAPHIC PACKAGING HOLDING CO,1070384,18000,Georgia GA,1500 Riveredge Parkway Suite 100 Atlanta Georgia GA 30328 United States,33.9081754,-84.4362621
Speciality & Other Finance,49929,6276,INTERCONTINENTAL EXCHANGE INC ,815224,5161,Georgia GA,5660 New Northside Drive North West Third Floor Atlanta Georgia GA 30328 United States,33.9093776,-84.4311343
Diversified Industrials,3680,1896,AEROJET ROCKETDYNE HOLDINGS INC ,13020,5004,California CA,222 North Pacific Coast Highway Suite 500 El Segundo California CA 90245 United States,33.9190712,-118.3952696
Transport,84635,71861,UNITED PARCEL SERVICE (UPS) INC,32137,481000,Georgia GA,55 Glenlake Parkway North East Atlanta  Georgia GA 30328 United States,33.9431979,-84.3602082
Software & Computer Services,17856,1180,SNAP INC,2625560,2884,California CA,2772 Donald Douglas Loop North Santa Monica  California CA 90405 United States,34.0163303,-118.4535089
Software & Computer Services,38000,7500,ACTIVISION BLIZZARD INC ,725,9900,California CA,3100 Ocean Park Boulevard Santa Monica  California CA 90405 United States,34.0196137,-118.4525618
Real Estate,4925,212,REXFORD INDUSTRIAL REALTY INC,1966849,108,California CA,11620 Wilshire Boulevard Suite 1000 Los Angeles California CA 90025 United States,34.0497525,-118.4593418
Utilities - Other,26760,12657,EDISON INTERNATIONAL,10130,12574,California CA,2244 Walnut Grove Avenue Post Office Box 976 Rosemead California CA 91770 United States,34.0539466,-118.0808098
Media & Entertainment,21797,,FOX CORP,3010375,7600,California CA,2121 Avenue of the Stars Los Angeles  California CA 90067 United States,34.0551746,-118.4132525
Health,1745,652,AVANOS MEDICAL INC ,2163304,4700,Georgia GA,5405 Windward Parkway Suite 100 South Alpharetta Georgia GA 30004 United States,34.086981,-84.272542
Business Services,3201,3400,ASGN INC ,23131,4300,California CA,26745 Malibu Hills Road Calabasas  California CA 91301 United States,34.138352,-118.7061768
Real Estate,16549,1327,ALEXANDRIA REAL ESTATE EQUITIES INC,1354,386,California CA,385 East Colorado Boulevard Suite 299 Pasadena California CA 91101 United States,34.1460377,-118.1419666
Media & Entertainment,248509,59434,WALT DISNEY (HLDG) CO,33048,201000,California CA,500 South Buena Vista Street Burbank  California CA 91521 United States,34.1568097,-118.3250894
Forestry & Paper,9344,7159,AVERY DENNISON CORP,3210,30000,California CA,207 Goode Avenue Glendale  California CA 91203 United States,34.1570641,-118.2563626
Real Estate,43017,2754,PUBLIC STORAGE ,25380,5600,California CA,701 Western Avenue Glendale  California CA 91201-2349 United States,34.1664274,-118.2955073
Pharmaceuticals and Biotechnology,124808,23747,AMGEN INC,2068,21500,California CA,One Amgen Center Drive Thousand Oaks  California CA 91320-1799 United States,34.192136,-118.919477
Electronic & Electrical Equipment,10701,2902,TELEDYNE TECHNOLOGIES INC,30261,10850,California CA,1049 Camino Dos Rios Thousand Oaks  California CA 91360-2362 United States,34.1974847,-118.9054586
Business Services,10253,477,THE TRADE DESK INC,2527967,944,California CA,42 North Chestnut Street Ventura  California CA 93001 United States,34.2814477,-119.2913175
Clothing & Personal Products,4355,2020,DECKERS OUTDOOR CORP,8867,3500,California CA,250 Coromar Drive Goleta  California CA 93117 United States,34.4287369,-119.8629881
Banks,2109,593,UNITED COMMUNITY BANKS INC,480535,2312,Georgia GA,125 Highway 515 East Blairsville  Georgia GA 30512 United States,34.8798997,-83.9578058
Transport,41699,69693,FEDEX CORP,11664,239000,Tennessee TN,942 South Shady Grove Road Memphis  Tennessee TN 38120 United States,35.10565,-89.8583139
Banks,5014,2269,FIRST HORIZON NATIONAL CORP ,233,5577,Tennessee TN,165 Madison Avenue Memphis  Tennessee TN 38103 United States,35.1439702,-90.0509598
Electricity,65276,24521,DUKE ENERGY CORP,867887,30083,North Carolina NC,550 South Tryon Street Charlotte  North Carolina NC 28202-1803 United States,35.2240674,-80.8485596
Aerospace & Defence,121302,41802,HONEYWELL INTERNATIONAL INC ,15029,114000,North Carolina NC,300 South Tryon Street Charlotte  North Carolina NC 28202 United States,35.2256085,-80.8457662
Banks,274356,110584,BANK OF AMERICA CORP,4504,204000,North Carolina NC,Bank of America Corporate Center 100 North Tryon Street Charlotte North Carolina NC 28255 United States,35.2273417,-80.8419168
Utilities - Other,8625,2270,OGE ENERGY CORP,22981,2292,Oklahoma OK,321 North Harvey Post Office Box 321 Oklahoma City Oklahoma OK 73101-0321 United States,35.4707055,-97.5180825
Oil & Gas,2386,10231,CHESAPEAKE ENERGY CORP,6608,2350,Oklahoma OK,6100 North Western Avenue Oklahoma City  Oklahoma OK 73118 United States,35.5346475,-97.5289018
Construction & Building Materials,87545,71309,LOWE'S COS INC,19193,3e+05,North Carolina NC,1000 Lowe's Boulevard Mooresville  North Carolina NC 28117 United States,35.541958,-80.8539024
Electronic & Electrical Equipment,5436,1080,CREE INC,8220,6796,North Carolina NC,4600 Silicon Drive Durham  North Carolina NC 27703 United States,35.8994783,-78.8423838
Banks,37983,12996,BB&T CORP,3718,35852,North Carolina NC,200 West Second Street Winston-Salem  North Carolina NC 27101 United States,36.0956772,-80.245157
Leisure & Hotels,7821,8391,CAESARS ENTERTAINMENT CORP,1796209,66000,Nevada NV,One Caesars Palace Drive Las Vegas  Nevada NV 89109 United States,36.1165658,-115.1752403
Clothing & Personal Products,33099,13849,VF CORP,32574,75000,North Carolina NC,105 Corporate Center Boulevard Greensboro  North Carolina NC 27408 United States,36.1221552,-79.7989009
Leisure & Hotels,47604,13729,LAS VEGAS SANDS CORP,603630,51500,Nevada NV,3355 Las Vegas Boulevard South Las Vegas  Nevada NV 89109 United States,36.1229174,-115.1685253
Leisure & Hotels,11528,6718,WYNN RESORTS LTD,136226,26000,Nevada NV,3131 Las Vegas Boulevard South Las Vegas  Nevada NV 89109 United States,36.1271069,-115.1648303
Oil & Gas,30594,12593,ONEOK INC ,23165,2684,Oklahoma OK,100 West Fifth Street Tulsa  Oklahoma OK 74103 United States,36.1505651,-95.9916855
Health,42286,46677,HCA HEALTHCARE INC ,1692837,262000,Tennessee TN,One Park Plaza Nashville  Tennessee TN 37203 United States,36.1536774,-86.8138175
Utilities - Other,30262,8686,WILLIAMS COMPANIES INC,33512,5322,Oklahoma OK,One Williams Center Tulsa  Oklahoma OK 74172 United States,36.1549585,-95.9905196
Banks,1111,370,FB FINANCIAL CORP,2524562,1356,Tennessee TN,211 Commerce Street Suite 300 Nashville Tennessee TN 37201 United States,36.1626255,-86.7762776
Leisure & Hotels,3880,1275,RYMAN HOSPITALITY PROPERTIES INC ,12897,1113,Tennessee TN,One Gaylord Drive Nashville  Tennessee TN 37214 United States,36.1929452,-86.6881325
General Retailers,40672,25625,DOLLAR GENERAL CORP,1605214,135000,Tennessee TN,100 Mission Ridge Goodlettsville  Tennessee TN 37072 United States,36.3090261,-86.699065
General Retailers,330613,514405,WALMART INC ,33046,2200000,Arkansas AR,702 Southwest 8th Street Bentonville  Arkansas AR 72716-0215 United States,36.3652654,-94.2176381
General Retailers,26040,22823,DOLLAR TREE INC ,9474,182100,Virginia VA,500 Volvo Parkway Chesapeake  Virginia VA 23320 United States,36.7681471,-76.2426183
Transport,44734,11458,NORFOLK SOUTHERN CORP,22412,26662,Virginia VA,Three Commercial Place Norfolk  Virginia VA 23510-2191 United States,36.8456104,-76.2885781
Automobiles & Parts,28402,9536,O'REILLY AUTOMOTIVE INC,23350,79174,Missouri MO,233 South Patterson Springfield  Missouri MO 65802 United States,37.2076592,-93.2492485
Media & Entertainment,134700,15794,NETFLIX INC,93427,7100,California CA,100 Winchester Circle Los Gatos  California CA 95032 United States,37.2593139,-121.9619835
General Retailers,34524,10746,EBAY INC,9989,14000,California CA,2025 Hamilton Avenue San Jose  California CA 95125 United States,37.2951452,-121.9261113
Electronic & Electrical Equipment,22233,4914,AGILENT TECHNOLOGIES INC,1060,14800,California CA,5301 Stevens Creek Boulevard Santa Clara  California CA 95051 United States,37.3248865,-121.9989378
Software & Computer Services,149476,9030,ADOBE INC ,808,21357,California CA,345 Park Avenue San Jose  California CA 95110-2704 United States,37.3303074,-121.8941558
Information Technology Hardware,888113,265595,APPLE INC ,2355,132000,California CA,One Apple Park Way Cupertino  California CA 95014 United States,37.3327177,-122.0053293
Electronic & Electrical Equipment,94352,11716,NVIDIA CORP,22806,13277,California CA,2788 San Tomas Expressway Santa Clara  California CA 95051 United States,37.37035,-121.9672107
Electronic & Electrical Equipment,57669,3724,INTUITIVE SURGICAL INC,16627,5527,California CA,1020 Kifer Road Sunnyvale  California CA 94086 United States,37.372939,-122.003967
Software & Computer Services,47415,2609,SERVICENOW INC,1830138,8154,California CA,2225 Lawson Lane Santa Clara  California CA 95054 United States,37.3759167,-121.9626911
Speciality & Other Finance,120959,15451,PAYPAL HOLDINGS INC,2308850,21800,California CA,2211 North First Street San Jose  California CA 95131 United States,37.3768507,-121.9227332
Engineering & Machinery,41338,17253,APPLIED MATERIALS INC,2382,21000,California CA,3050 Bowers Avenue PO Box 58039 Santa Clara California CA 95054-3299 United States,37.3776247,-121.9787818
Information Technology Hardware,32774,6475,ADVANCED MICRO DEVICES INC (AMD),881,10100,California CA,2485 Augustine Drive Santa Clara  California CA 95054 United States,37.3829254,-121.9703842
Electronic & Electrical Equipment,114043,20848,BROADCOM INC ,817439,15000,California CA,1320 Ridder Park Drive San Jose  California CA 95131 United States,37.3861354,-121.9003283
Software & Computer Services,7380,,ELASTIC NV,2924705,,California CA,800 West El Camino Real Suite 350 Mountain View California CA 94040 United States,37.3865645,-122.0841761
Information Technology Hardware,214678,70848,INTEL CORP,16239,107400,California CA,2200 Mission College Boulevard Santa Clara  California CA 95054-1549 United States,37.3875909,-121.9637869
Automobiles & Parts,41899,21461,TESLA INC ,1650150,48817,California CA,3500 Deer Creek Road Palo Alto  California CA 94304 United States,37.3948376,-122.1503889
Software & Computer Services,19321,2138,CADENCE DESIGN SYSTEMS INC,5480,7500,California CA,2655 Seely Avenue Building 5 San Jose California CA 95134 United States,37.3960629,-121.9195328
Software & Computer Services,14686,4834,SYMANTEC CORP,29774,11800,California CA,350 Ellis Street Mountain View  California CA 94043 United States,37.397614,-122.0539239
Information Technology Hardware,206025,49330,CISCO SYSTEMS INC,6908,74200,California CA,170 West Tasman Drive San Jose  California CA 95134-1706 United States,37.4083615,-121.9541545
Information Technology Hardware,27471,58472,HP INC ,14722,55000,California CA,1501 Page Mill Road Palo Alto  California CA 94304 United States,37.4120244,-122.1483485
Software & Computer Services,776176,136819,ALPHABET INC ,116351,98771,California CA,1600 Amphitheatre Parkway Mountain View  California CA 94043 United States,37.4215785,-122.0837816
Software & Computer Services,75418,5964,INTUIT INC,16626,8900,California CA,2700 Coast Avenue Mountain View  California CA 94043 United States,37.4306146,-122.0960646
Software & Computer Services,457557,55838,FACEBOOK INC,1820060,35587,California CA,1601 Willow Road Menlo Park  California CA 94025 United States,37.482495,-122.147995
Electronic & Electrical Equipment,30846,11077,LAM RESEARCH CORP,18384,10900,California CA,4650 Cushing Parkway Fremont  California CA 94538 United States,37.488472,-121.9574428
Telecommunication Services,9922,674,RINGCENTRAL INC,1988598,1871,California CA,20 Davis Drive Belmont  California CA 94002 United States,37.5109,-122.306596
Leisure Goods,26614,4950,ELECTRONIC ARTS INC,10364,9700,California CA,209 Redwood Shores Parkway Redwood City  California CA 94065-1175 United States,37.5232799,-122.2541417
Telecommunication Services,44822,5072,EQUINIX INC,10899,7903,California CA,One Lagoon Drive Redwood City  California CA 94065 United States,37.527412,-122.26131
Software & Computer Services,179617,39831,ORACLE CORP ,23295,137000,California CA,500 Oracle Parkway Redwood City  California CA 94065 United States,37.5307052,-122.26242
Utilities - Other,63667,13366,DOMINION ENERGY INC ,9491,21300,Virginia VA,120 Tredegar Street Richmond  Virginia VA 23219 United States,37.5339758,-77.4517422
Software & Computer Services,1202,235,ZUORA INC,2804837,1221,California CA,3050 South Delaware Street Suite 301 San Mateo California CA 94403 United States,37.5404051,-122.2989933
Pharmaceuticals and Biotechnology,79616,22127,GILEAD SCIENCES INC,13273,11000,California CA,333 Lakeside Drive Foster City  California CA 94404 United States,37.5670009,-122.281649
Tobacco,87627,25364,ALTRIA GROUP INC ,24343,8300,Virginia VA,6601 West Broad Street Richmond  Virginia VA 23230 United States,37.6006628,-77.5167315
Insurance,15193,6841,MARKEL CORP,19677,17400,Virginia VA,4521 Highwoods Parkway Glen Allen  Virginia VA 23060-6148 United States,37.6615941,-77.576847
Software & Computer Services,18989,862,VEEVA SYSTEMS INC,1995404,2553,California CA,4280 Hacienda Drive Pleasanton  California CA 94588 United States,37.6901555,-121.8953044
Health,15147,2533,COOPER COMPANIES INC,7836,12000,California CA,6140 Stoneridge Mall Road Suite 590 Pleasanton California CA 94588 United States,37.6977513,-121.9232221
Software & Computer Services,29263,2822,WORKDAY INC,1895620,10500,California CA,6110 Stoneridge Mall Road Pleasanton  California CA 94588 United States,37.6984925,-121.9266266
